Name,Year_of_Release,Genre,Platform_Name,Publisher_Name
Deadly Duck,1981,Shooter,2600,20th Century Fox Video Games
Reactor,1981,Action,2600,Parker Bros.
Crazy Climber,1981,Action,2600,Atari
RealSports Baseball,1981,Sports,2600,Atari
International Soccer,1981,Sports,2600,Mattel Interactive
Armor Ambush,1981,Action,2600,Mattel Interactive
RealSports Volleyball,1981,Sports,2600,Atari
Pac-Man,1982,Puzzle,2600,Atari
Dig Dug,1982,Puzzle,2600,Atari
Pole Position,1982,Racing,2600,Atari
Moon Patrol,1982,Shooter,2600,Atari
Jungle Hunt,1982,Platform,2600,Atari
Joust,1982,Platform,2600,Atari
Enduro,1982,Misc,2600,Quelle
Yars' Revenge,1982,Shooter,2600,Atari
Galaxian,1982,Shooter,2600,Atari
Kangaroo,1982,Platform,2600,Atari
Keystone Kapers,1982,Action,2600,Activision
X-Man,1982,Action,2600,Universal Gamex
Battlezone,1982,Shooter,2600,Atari
Halloween,1982,Action,2600,Wizard Video Games
The Activision Decathlon,1982,Sports,2600,Activision
Action Force,1982,Action,2600,CPG Products
Chopper Command,1982,Shooter,2600,Activision
RealSports Tennis,1982,Sports,2600,Atari
Gauntlet,1982,Action,2600,Answer Software
Congo Bongo,1982,Action,2600,Sega
Bump 'n' Jump,1982,Racing,2600,Mattel Interactive
Gravitar,1982,Action,2600,Atari
Alien's Return,1982,Action,2600,ITT Family Games
Bank Heist,1982,Action,2600,20th Century Fox Video Games
Frankenstein's Monster,1982,Action,2600,Data Age
Mountain King,1982,Action,2600,CBS Electronics
Polaris,1982,Action,2600,Tigervision
Mr. Do!,1982,Action,2600,Coleco
Porky's,1982,Action,2600,20th Century Fox Video Games
Assault,1982,Action,2600,Bomb
Death Trap,1982,Action,2600,Avalon Interactive
Pressure Cooker,1982,Action,2600,Activision
Krull,1982,Action,2600,Atari
Baseball,1983,Sports,NES,Nintendo
Mario Bros.,1983,Platform,NES,Nintendo
Mahjong,1983,Misc,NES,Nintendo
Pitfall II: Lost Caverns,1983,Platform,2600,Activision
Donkey Kong Jr.,1983,Platform,NES,Nintendo
Popeye,1983,Platform,NES,Nintendo
Jr. Pac-Man,1983,Puzzle,2600,Atari
Crystal Castles,1983,Action,2600,Atari
Midnight Magic,1983,Action,2600,Atari
Millipede,1983,Shooter,2600,Atari
Gremlins,1983,Action,2600,Atari
Pengo,1983,Adventure,2600,Atari
Frostbite,1983,Action,2600,Activision
Frogger II: Threeedeep!,1983,Action,2600,Parker Bros.
Dolphin,1983,Action,2600,Activision
Mr. Do!'s Castle,1983,Action,2600,Parker Bros.
Duck Hunt,1984,Shooter,NES,Nintendo
Excitebike,1984,Racing,NES,Nintendo
Golf,1984,Sports,NES,Nintendo
Tennis,1984,Sports,NES,Nintendo
Pinball,1984,Action,NES,Nintendo
F1 Race,1984,Racing,NES,Nintendo
Xevious,1984,Shooter,NES,Namco Bandai Games
4 Nin uchi Mahjong,1984,Misc,NES,Nintendo
Hogan's Alley,1984,Shooter,NES,Nintendo
Lode Runner,1984,Puzzle,NES,Hudson Soft
Clu Clu Land,1984,Puzzle,NES,Nintendo
Mappy,1984,Platform,NES,Namco Bandai Games
Beamrider,1984,Racing,2600,Activision
Super Mario Bros.,1985,Platform,NES,Nintendo
Kung Fu,1985,Action,NES,Nintendo
Soccer,1985,Sports,NES,Nintendo
Ice Climber,1985,Platform,NES,Nintendo
Gyromite,1985,Puzzle,NES,Nintendo
Tag Team Match M.U.S.C.L.E.,1985,Fighting,NES,Namco Bandai Games
Bomberman,1985,Puzzle,NES,Hudson Soft
1942,1985,Shooter,NES,Capcom
Balloon Fight,1985,Platform,NES,Nintendo
Wrecking Crew,1985,Platform,NES,Nintendo
Ghostbusters,1985,Puzzle,2600,Activision
Alter Ego,1985,Simulation,PC,Activision
Strongest Tokyo University Shogi DS,1985,Action,DS,Mycom
The Legend of Zelda,1986,Action,NES,Nintendo
World Class Track Meet,1986,Sports,NES,Namco Bandai Games
Metroid,1986,Action,NES,Nintendo
Super Mario Bros.: The Lost Levels,1986,Platform,NES,Nintendo
Dragon Warrior,1986,Role-Playing,NES,Capcom
Pro Yakyuu Family Stadium,1986,Sports,NES,Namco Bandai Games
Rad Racer,1986,Racing,NES,Nintendo
Kid Icarus,1986,Platform,NES,Nintendo
Ghosts 'n Goblins,1986,Action,NES,Capcom
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,1986,Platform,NES,Hudson Soft
Gradius,1986,Shooter,NES,Konami Digital Entertainment
Castlevania,1986,Platform,NES,Konami Digital Entertainment
TwinBee,1986,Shooter,NES,Konami Digital Entertainment
Ganbare Goemon! Karakuri Douchuu,1986,Platform,NES,Konami Digital Entertainment
Doraemon,1986,Action,NES,Hudson Soft
Commando,1986,Action,NES,Capcom
Adventure Island,1986,Platform,NES,Hudson Soft
Star Soldier,1986,Shooter,NES,Hudson Soft
The Mysterious Murasame Castle,1986,Action,NES,Nintendo
Solaris,1986,Shooter,2600,Atari
RealSports Boxing,1986,Sports,2600,Atari
Zelda II: The Adventure of Link,1987,Adventure,NES,Nintendo
Mike Tyson's Punch-Out!!,1987,Fighting,NES,Nintendo
Dragon Warrior II,1987,Role-Playing,NES,Enix Corporation
Pro Wrestling,1987,Fighting,NES,Nintendo
Volleyball,1987,Sports,NES,Nintendo
Pro Yakyuu Family Stadium '87,1987,Sports,NES,Namco Bandai Games
Gegege no Kitarou 2: Youkai Gundan no Chousen,1987,Role-Playing,NES,Namco Bandai Games
Castlevania II: Simon's Quest,1987,Platform,NES,Konami Digital Entertainment
Final Fantasy,1987,Role-Playing,NES,SquareSoft
Mega Man,1987,Platform,NES,Capcom
Kung-Fu Master,1987,Action,2600,Activision
Defender II,1987,Shooter,2600,Atari
Desert Falcon,1987,Shooter,2600,Atari
Super Football,1987,Sports,2600,Atari
Super Baseball,1987,Sports,2600,Atari
Super Mario Bros. 3,1988,Platform,NES,Nintendo
Super Mario Bros. 2,1988,Platform,NES,Nintendo
Dragon Warrior III,1988,Role-Playing,NES,Enix Corporation
Ice Hockey,1988,Sports,NES,Nintendo
R.C. Pro-Am,1988,Racing,NES,Nintendo
Donkey Kong Classics,1988,Platform,NES,Nintendo
Mega Man 2,1988,Action,NES,Capcom
Dragon Ball: Daimaou Fukkatsu,1988,Role-Playing,NES,Namco Bandai Games
Pro Yakyuu Family Stadium '88,1988,Sports,NES,Namco Bandai Games
River Raid II,1988,Shooter,2600,Activision
Rampage,1988,Action,2600,Activision
Tetris,1989,Puzzle,GB,Nintendo
Super Mario Land,1989,Platform,GB,Nintendo
Dr. Mario,1989,Puzzle,GB,Nintendo
Teenage Mutant Ninja Turtles,1989,Action,NES,Palcom
Alleyway,1989,Puzzle,GB,Nintendo
Disney's DuckTales,1989,Platform,NES,Capcom
Yakuman,1989,Misc,GB,Nintendo
SolarStriker,1989,Shooter,GB,Nintendo
The Final Fantasy Legend,1989,Role-Playing,GB,SquareSoft
Famicom Jump: Eiyuu Retsuden,1989,Role-Playing,NES,Namco Bandai Games
Castlevania III: Dracula's Curse,1989,Platform,NES,Konami Digital Entertainment
Double Dragon,1989,Action,2600,Activision
Klax,1989,Puzzle,2600,Atari
Adventures of Lolo,1989,Puzzle,NES,HAL Laboratory
Super Mario World,1990,Platform,SNES,Nintendo
F-1 Race,1990,Racing,GB,Nintendo
Dragon Warrior IV,1990,Role-Playing,NES,Enix Corporation
F-Zero,1990,Racing,SNES,Nintendo
Streets of Rage,1990,Action,GEN,Sega
Teenage Mutant Ninja Turtles II: The Arcade Game,1990,Action,NES,Konami Digital Entertainment
Final Fight,1990,Action,SNES,Capcom
Nintendo World Cup,1990,Sports,NES,Nintendo
Disney's Chip 'n Dale: Rescue Rangers,1990,Platform,NES,Capcom
Mega Man 3,1990,Platform,NES,Capcom
Qix,1990,Puzzle,GB,Nintendo
Pilotwings,1990,Simulation,SNES,Nintendo
Extra Bases,1990,Sports,GB,Namco Bandai Games
Famista '91,1990,Sports,NES,Namco Bandai Games
The Legend of Zelda: A Link to the Past,1991,Action,SNES,Nintendo
Sonic the Hedgehog,1991,Platform,GEN,Sega
SimCity,1991,Simulation,SNES,Nintendo
Final Fantasy II,1991,Role-Playing,SNES,Square
Metroid II: Return of Samus,1991,Adventure,GB,Nintendo
Yoshi,1991,Puzzle,NES,Nintendo
Super Scope 6,1991,Shooter,SNES,Nintendo
Teenage Mutant Ninja Turtles III: The Manhattan Project,1991,Action,NES,Konami Digital Entertainment
Super Ghouls 'n Ghosts,1991,Platform,SNES,Capcom
Super R.C. Pro-Am,1991,Racing,GB,Nintendo
NES Open Tournament Golf,1991,Sports,NES,Nintendo
Mega Man 4,1991,Platform,NES,Capcom
Final Fantasy Legend III,1991,Role-Playing,GB,SquareSoft
Super Castlevania IV,1991,Platform,SNES,Konami Digital Entertainment
The Legend of the Mystical Ninja,1991,Adventure,SNES,Konami Digital Entertainment
Bomberman II,1991,Puzzle,NES,Hudson Soft
Super Wagyan Land,1991,Action,SNES,Namco Bandai Games
Super Fire ProWrestling,1991,Fighting,SNES,Human Entertainment
Super Soccer,1991,Sports,SNES,Nintendo
Final Fantasy Adventure,1991,Role-Playing,GB,SquareSoft
Battle Dodge Ball,1991,Sports,SNES,Banpresto
Kidou Senshi Gundam F91: Formula Senki 0122,1991,Strategy,SNES,Namco Bandai Games
Tetris 2 + Bombliss,1991,Puzzle,NES,BPS
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,1991,Role-Playing,SNES,Angel Studios
Mega Man: Dr. Wily's Revenge,1991,Platform,GB,Nintendo
Famista '92,1991,Sports,NES,Namco Bandai Games
Mega Man II,1991,Platform,GB,Nintendo
Lord of Darkness,1991,Action,SNES,Tecmo Koei
Romance of the Three Kingdoms II,1991,Strategy,SNES,Tecmo Koei
Super R-Type,1991,Shooter,SNES,Nintendo
Super Baseball Simulator 1.000,1991,Sports,SNES,Culture Brain
GameBoy Wars,1991,Strategy,GB,Nintendo
Battle Commander: Hachibushu Shura no Heihou,1991,Strategy,SNES,Banpresto
SimEarth: The Living Planet,1991,Simulation,SNES,Imagineer
World League Soccer,1991,Sports,SNES,Imagineer
UN Squadron,1991,Shooter,SNES,Capcom
Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,1991,Misc,SNES,Epoch
John Madden Football,1991,Sports,SNES,Imagineer
Teenage Mutant Ninja Turtles II: Back from the Sewers,1991,Action,GB,Konami Digital Entertainment
Lagoon,1991,Role-Playing,SNES,Kemco
Super Mario Land 2: 6 Golden Coins,1992,Adventure,GB,Nintendo
Super Mario Kart,1992,Racing,SNES,Nintendo
Street Fighter II: The World Warrior,1992,Fighting,SNES,Capcom
Sonic the Hedgehog 2,1992,Platform,GEN,Sega
Kirby's Dream Land,1992,Platform,GB,Nintendo
Street Fighter II Turbo,1992,Fighting,SNES,Capcom
The Legend of Zelda: Link's Awakening,1992,Action,GB,Nintendo
Dragon Quest V: Tenkuu no Hanayome,1992,Role-Playing,SNES,Enix Corporation
Mario Paint,1992,Misc,SNES,Nintendo
Final Fantasy V,1992,Role-Playing,SNES,SquareSoft
Kirby's Pinball Land,1992,Misc,GB,Nintendo
SimCity 2000,1992,Simulation,PC,Maxis
NBA Jam,1992,Sports,GEN,Arena Entertainment
Yoshi's Cookie,1992,Puzzle,GB,Nintendo
Street Fighter II': Special Champion Edition,1992,Fighting,GEN,Sega
Tetris 2 (All region sales),1992,Puzzle,GB,Nintendo
The Magical Quest starring Mickey Mouse,1992,Platform,SNES,Capcom
Romancing SaGa,1992,Role-Playing,SNES,SquareSoft
Mega Man 5,1992,Platform,NES,Capcom
The 7th Guest,1992,Adventure,PC,Virgin Interactive
Dragon Ball Z: Chou Saiya Densetsu,1992,Role-Playing,SNES,Namco Bandai Games
Super Bomberman,1992,Puzzle,SNES,Hudson Soft
Super Batter Up,1992,Sports,SNES,Namco Bandai Games
Fatal Fury,1992,Fighting,SNES,Takara
Romance of the Three Kingdoms III: Dragon of Destiny,1992,Strategy,SNES,Tecmo Koei
F1 ROC: Race of Champions,1992,Sports,SNES,Ocean
F-1 Grand Prix,1992,Racing,SNES,Video System
Tetris 2 (weekly jp sales),1992,Puzzle,GB,Nintendo
Super Adventure Island,1992,Platform,SNES,Hudson Soft
Otogirisou,1992,Adventure,SNES,ChunSoft
Battle Soccer: Field no Hasha,1992,Sports,SNES,Banpresto
Contra III: The Alien Wars,1992,Shooter,SNES,Konami Digital Entertainment
Gunstar Heroes,1992,Shooter,GEN,Sega
Ecco the Dolphin,1992,Adventure,GEN,Sega
Teenage Mutant Ninja Turtles: Tournament Fighters,1992,Fighting,NES,Konami Digital Entertainment
Sonic the Hedgehog 2 (8-bit),1992,Platform,GG,Sega
Empire Deluxe,1992,Strategy,PC,New World Computing
Super Mario All-Stars,1993,Platform,SNES,Nintendo
Star Fox,1993,Shooter,SNES,Nintendo
Super Street Fighter II,1993,Fighting,SNES,Nintendo
Mortal Kombat II,1993,Fighting,SNES,Acclaim Entertainment
Secret of Mana,1993,Role-Playing,SNES,SquareSoft
Disney's Aladdin,1993,Platform,SNES,Capcom
Kirby's Adventure,1993,Platform,NES,Nintendo
Super Puyo Puyo,1993,Puzzle,SNES,Banpresto
Sonic CD,1993,Platform,SCD,Sega
Dragon Ball Z,1993,Fighting,SNES,Namco Bandai Games
Dragon Ball Z: La Legende Saien,1993,Fighting,SNES,Namco Bandai Games
Romancing SaGa 2,1993,Role-Playing,SNES,SquareSoft
Mega Man X,1993,Platform,SNES,Capcom
Dragon Quest I & II,1993,Role-Playing,SNES,Enix Corporation
Final Fight 2,1993,Action,SNES,Capcom
Tetris 2,1993,Puzzle,NES,Nintendo
Capcom's Soccer Shootout,1993,Sports,SNES,Nintendo
Torneko no Daibouken: Fushigi no Dungeon,1993,Role-Playing,SNES,ChunSoft
Dragon Ball Z: Ultime Menace,1993,Fighting,SNES,Namco Bandai Games
J-League Soccer: Prime Goal,1993,Sports,SNES,Namco Bandai Games
Nobunaga no Yabou: Haouden,1993,Strategy,SNES,Tecmo Koei
Mega Man X2,1993,Platform,SNES,Laguna
Virtual Soccer,1993,Sports,SNES,Hudson Soft
Winning Post,1993,Sports,SNES,Tecmo Koei
Mega Man 6,1993,Platform,NES,Capcom
Mario & Wario,1993,Puzzle,SNES,Nintendo
Crayon Shin-Chan: Arashi o Yobu Enji,1993,Platform,SNES,Namco Bandai Games
Fatal Fury 2,1993,Fighting,SNES,Takara
Yuu Yuu Hakusho,1993,Fighting,SNES,Namco Bandai Games
Jurassic Park,1993,Action,NES,Ocean
Stunt Race FX,1993,Racing,SNES,Nintendo
Shin Momotarou Densetsu,1993,Role-Playing,SNES,Hudson Soft
Ganbare Goemon 2: Kiteretsu Shougun Magginesu,1993,Platform,SNES,Konami Digital Entertainment
Bishoujo Senshi Sailormoon R,1993,Fighting,SNES,Namco Bandai Games
Sailor Moon,1993,Action,SNES,Namco Bandai Games
Jissen Pachi-Slot Hisshouhou,1993,Misc,SNES,Sammy Corporation
Shining Force II,1993,Strategy,GEN,Sega
Thoroughbred Breeder,1993,Simulation,SNES,Hect
Mega Man Soccer,1993,Sports,SNES,Capcom
Super Power League,1993,Sports,SNES,Hudson Soft
The King of Fighters '94 (CD),1993,Fighting,NG,SNK
Illusion of Gaia,1993,Role-Playing,SNES,Nintendo
Harukanaru Augusta 2: Masters,1993,Sports,SNES,T&E Soft
Classic Road,1993,Sports,SNES,Victor Interactive
Ranma 1/2: Akanekodan Teki Hihou,1993,Role-Playing,SNES,TOHO
Lethal Enforcers,1993,Shooter,SNES,Konami Digital Entertainment
Ecco: The Tides of Time,1993,Adventure,GEN,Sega
Street Fighter II': Special Champion Edition (JP weekly sales),1993,Action,GEN,Capcom
Ninja Warriors,1993,Action,SNES,Titus
Streets of Rage 3,1993,Action,GEN,Sega
Super Mahjong 2: Honkaku 4Jin Uchi,1993,Misc,SNES,Imax
Pop'n TwinBee: Rainbow Bell Adventure,1993,Platform,SNES,Konami Digital Entertainment
Doraemon 2: Nobita no Toizurando Daibouken,1993,Role-Playing,SNES,Epoch
Dynamite Headdy,1993,Platform,GEN,Sega
Pachinko Wars II,1993,Misc,SNES,Coconuts Japan
Keiba Eight Special,1993,Sports,SNES,Misawa
Beyond Oasis,1993,Role-Playing,GEN,Sega
Rock N' Roll Racing,1993,Racing,SNES,Interplay
Donkey Kong Country,1994,Platform,SNES,Nintendo
Super Mario Land 3: Wario Land,1994,Platform,GB,Nintendo
Donkey Kong Land,1994,Platform,GB,Nintendo
Doom II: Hell on Earth,1994,Shooter,PC,Virgin Interactive
Final Fantasy III,1994,Role-Playing,SNES,SquareSoft
Donkey Kong,1994,Platform,GB,Nintendo
Myst,1994,Adventure,PC,Red Orb
Monopoly,1994,Misc,PC,Hasbro Interactive
Warcraft: Orcs & Humans,1994,Strategy,PC,Activision
Star Wars: Dark Forces,1994,Shooter,PC,LucasArts
Sonic & Knuckles,1994,Platform,GEN,Sega
Disney's The Lion King,1994,Platform,SNES,Virgin Interactive
Sonic the Hedgehog 3,1994,Platform,GEN,Sega
Mortal Kombat 3,1994,Fighting,SNES,Acclaim Entertainment
Super Metroid,1994,Action,SNES,Nintendo
Battle Arena Toshinden,1994,Fighting,PS,Sony Computer Entertainment
NBA Jam Tournament Edition,1994,Sports,GEN,Acclaim Entertainment
Virtua Fighter,1994,Fighting,SAT,Sega
Super Momotarou Dentetsu III,1994,Simulation,SNES,Hudson Soft
Derby Stallion II,1994,Sports,SNES,ASCII Entertainment
Kamaitachi no Yoru,1994,Adventure,SNES,ChunSoft
Super Bomberman 2,1994,Puzzle,SNES,Hudson Soft
EarthBound,1994,Role-Playing,SNES,Nintendo
Doom,1994,Shooter,PS,Infogrames
Super Bomberman 3,1994,Puzzle,SNES,Hudson Soft
Fire Emblem: Monsh? no Nazo,1994,Role-Playing,SNES,Nintendo
Kirby's Dream Course,1994,Sports,SNES,Nintendo
Theme Park,1994,Simulation,PS,Electronic Arts
Fatal Fury Special,1994,Fighting,SNES,Takara
Daytona USA,1994,Racing,SAT,Sega
Romance of the Three Kingdoms IV: Wall of Fire,1994,Strategy,SNES,Tecmo Koei
J-League Soccer: Prime Goal 2,1994,Sports,SNES,Namco Bandai Games
Space Invaders,1994,Shooter,SNES,Taito
NHL FaceOff,1994,Sports,PS,Sony Computer Entertainment
Wonder Project J: Kikai no Shonen Pino,1994,Simulation,SNES,Enix Corporation
Jikkyou Powerful Pro Yakuu '94,1994,Sports,SNES,Konami Digital Entertainment
Samurai Shodown,1994,Fighting,SNES,Takara
Super Famista 3,1994,Sports,SNES,Namco Bandai Games
ESPN Extreme Games,1994,Sports,PS,Sony Computer Entertainment
Kileak: The DNA Imperative,1994,Shooter,PS,Sony Computer Entertainment
Super Formation Soccer 94,1994,Sports,SNES,Human Entertainment
Super Robot Taisen EX,1994,Strategy,SNES,Banpresto
Shin Megami Tensei II,1994,Role-Playing,SNES,Atlus
Zero4 Champ RR,1994,Sports,SNES,Media Rings
Super Fire ProWrestling Special,1994,Fighting,SNES,Human Entertainment
Breath of Fire II,1994,Role-Playing,SNES,Laguna
Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,1994,Platform,SNES,Konami Digital Entertainment
Super Power League 2,1994,Sports,SNES,Hudson Soft
Parodius,1994,Shooter,PS,Konami Digital Entertainment
Live A Live,1994,Role-Playing,SNES,SquareSoft
Yuu Yuu Hakusho 2: Kakutou no Sho,1994,Fighting,SNES,Namco Bandai Games
Decathlete,1994,Sports,SAT,Sega
Daikaijyuu Monogatari,1994,Role-Playing,SNES,Hudson Soft
Itadaki Street 2: Neon Sign wa Bara Iro ni,1994,Misc,SNES,Enix Corporation
International Superstar Soccer,1994,Sports,SNES,Konami Digital Entertainment
Slam Dunk: Yonkyo Taiketsu!!,1994,Sports,SNES,Namco Bandai Games
Thoroughbred Breeder II,1994,Simulation,SNES,Hect
Virtua Racing,1994,Racing,GEN,Sega
Galactic Attack,1994,Shooter,SAT,Acclaim Entertainment
A. IV Evolution: A Ressha de Ikou 4,1994,Strategy,PS,ArtDink
Samurai Shodown II,1994,Fighting,NG,SNK
The King of Fighters '95 (CD),1994,Fighting,NG,SNK
Drift King Shutokou Battle '94,1994,Racing,SNES,BPS
Samurai Spirits (CD),1994,Fighting,NG,SNK
Wing Arms,1994,Shooter,SAT,Sega
ThunderStrike 2,1994,Simulation,PS,Core Design Ltd.
SD Gundam GX,1994,Strategy,SNES,Namco Bandai Games
Gokujou Parodius,1994,Shooter,SNES,Konami Digital Entertainment
F1 Challenge,1994,Racing,SAT,Sega
Saturday Night Slam Masters,1994,Fighting,SNES,Capcom
"Lunar 2: Eternal Blue(sales, but wrong system)",1994,Role-Playing,GEN,Game Arts
Shining Force CD,1994,Strategy,SCD,Sega
The King of Fighters '94,1994,Fighting,NG,SNK
Slayers,1994,Role-Playing,SNES,Banpresto
Battle Arena Toshinden Remix,1994,Fighting,SAT,Sega
Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,1994,Fighting,SNES,Angel Studios
Center Ring Boxing,1994,Fighting,SAT,JVC
Primal Rage,1994,Fighting,PS,Time Warner Interactive
Jikkyou Powerful Pro Yakyuu '95,1994,Sports,PS,Konami Digital Entertainment
Final Fantasy I & II,1994,Role-Playing,NES,Square
Jupiter Strike,1994,Shooter,PS,Acclaim Entertainment
Crime Crackers,1994,Role-Playing,PS,Sony Computer Entertainment
Clockwork Knight,1994,Platform,SAT,Sega
King's Field (Japan),1994,Role-Playing,PS,From Software
Yuu Yuu Hakusho: Makyo Toitsusen,1994,Fighting,GEN,Sega
Dragon Slayer: The Legend of Heroes,1994,Role-Playing,GEN,Sega
Majin Tensei,1994,Role-Playing,SNES,Atlus
Gale Racer,1994,Racing,SAT,Sega
Formula One World Championship: Beyond the Limit,1994,Racing,SCD,Sega
Derby Jockey: Kishou e no Michi,1994,Sports,SNES,Asmik Corp
Kenyuu Densetsu Yaiba,1994,Action,SNES,Banpresto
Motor Toon Grand Prix (Japan),1994,Racing,PS,Sony Computer Entertainment
Discworld,1994,Adventure,PS,Psygnosis
Robotica,1994,Shooter,SAT,Sega
Worldwide Soccer,1994,Sports,SAT,Sega
Record of Lodoss War: Eiyuu Sensou,1994,Role-Playing,SCD,Sega
Game no Kanzume Vol 2,1994,Misc,SCD,Sega
Hisshou 777 Fighter: Pachi Slot Eiyu Densetsu,1994,Misc,SNES,Vap
Golden Axe: The Duel,1994,Fighting,SAT,Sega
Game no Kanzume Vol 1,1994,Misc,SCD,Sega
Galaxy Fight,1994,Fighting,SAT,Sunsoft
J-League Pro Striker 2,1994,Sports,GEN,Sega
Castlevania Bloodlines,1994,Platform,GEN,Konami Digital Entertainment
First Queen: Ornic Senki,1994,Role-Playing,SNES,Culture Brain
Gaia Saver Hero Saidai no Sakusen,1994,Role-Playing,SNES,Banpresto
Puzzle & Action: Tant-R,1994,Misc,GEN,Sega
Kidou Senshi V Gundam,1994,Action,SNES,Namco Bandai Games
The Great Battle Gaiden 2: Matsuri da Wasshoi,1994,Action,SNES,Banpresto
Bust-A-Move,1994,Puzzle,3DO,Micro Cabin
Sugoi Hebereke,1994,Fighting,SNES,Sunsoft
Pebble Beach Golf Links,1994,Sports,SAT,Sega
World Class Rugby 2: Kokunai Gekitou Hen '93,1994,Sports,SNES,Misawa
Donkey Kong Country 2: Diddy's Kong Quest,1995,Platform,SNES,Nintendo
Warcraft II: Tides of Darkness,1995,Strategy,PC,Activision
Super Mario World 2: Yoshi's Island,1995,Platform,SNES,Nintendo
Namco Museum Vol.1,1995,Misc,PS,Sony Computer Entertainment
Tekken,1995,Fighting,PS,Sony Computer Entertainment
Killer Instinct,1995,Fighting,SNES,Nintendo
Dragon Quest VI: Maboroshi no Daichi,1995,Role-Playing,SNES,Enix Corporation
Rayman,1995,Platform,PS,Ubisoft
Kirby's Dream Land 2,1995,Platform,GB,Nintendo
Chrono Trigger,1995,Role-Playing,SNES,SquareSoft
Virtua Fighter 2,1995,Fighting,SAT,Sega
Air Combat,1995,Simulation,PS,Sony Computer Entertainment
Twisted Metal,1995,Action,PS,Sony Computer Entertainment
Romancing SaGa 3,1995,Role-Playing,SNES,SquareSoft
Road Rash,1995,Racing,PS,Electronic Arts
Sega Rally Championship,1995,Racing,SAT,Sega
Derby Stallion III,1995,Sports,SNES,ASCII Entertainment
Arc the Lad,1995,Role-Playing,PS,Sony Computer Entertainment
Ridge Racer Revolution,1995,Racing,PS,Sony Computer Entertainment
Road & Track Presents: The Need for Speed,1995,Racing,PS,Electronic Arts
Destruction Derby,1995,Racing,PS,Psygnosis
Seiken Densetsu 3,1995,Role-Playing,SNES,SquareSoft
Gex,1995,Platform,PS,Crystal Dynamics
NFL GameDay,1995,Sports,PS,Sony Computer Entertainment
Street Fighter Alpha: Warriors' Dreams,1995,Fighting,PS,Virgin Interactive
Tactics Ogre: Let Us Cling Together,1995,Role-Playing,SNES,Quest
Battle Arena Toshinden 2,1995,Fighting,PS,Sony Computer Entertainment
Virtua Cop,1995,Shooter,SAT,Sega
Mario's Picross,1995,Puzzle,GB,Nintendo
Suikoden,1995,Role-Playing,PS,Konami Digital Entertainment
Front Mission,1995,Strategy,SNES,SquareSoft
Tokimeki Memorial: Forever with You,1995,Simulation,PS,Konami Digital Entertainment
Beyond The Beyond,1995,Role-Playing,PS,Sony Computer Entertainment
Bases Loaded '96: Double Header,1995,Sports,PS,Jaleco
Super Puyo Puyo 2,1995,Puzzle,SNES,Compile
WipEout,1995,Action,PS,Psygnosis
Super Momotarou Dentetsu DX,1995,Misc,SNES,Hudson Soft
J-League Excite Stage '95,1995,Sports,SNES,Epoch
Persona,1995,Role-Playing,PS,Atlus
